# squared distance, heading (radians)
7.588829,-0.374182
6.726602,-0.438047
7.148486,-0.418018
7.269812,-0.434783
7.379843,-0.472283
8.526102,-0.510437
8.763400,-0.597402
8.979805,-0.524011
9.295871,-0.563440
9.705145,-0.639182
10.505677,-0.682128
10.110769,-0.789648
10.800649,-0.679073
11.298444,-0.651620
11.062931,-0.715568
12.478985,-0.753875
12.403446,-0.844110
12.894937,-0.851016
13.210685,-0.849381
14.030202,-0.816184
14.799591,-0.797180
15.258112,-0.848225
15.513245,-0.934814
16.518796,-0.832625
17.072414,-0.819712
17.404243,-0.863553
19.075304,-0.982757
18.798572,-1.026108
19.993781,-0.965406
21.141496,-0.953196
21.777982,-1.028928
22.544613,-0.996433
21.815337,-1.007683
22.643638,-1.054388
22.678076,-1.076585
23.670877,-1.026752
24.172501,-0.980928
25.047194,-1.040754
25.023024,-0.976071
25.688164,-1.014619
25.267751,-1.040775
26.650274,-1.015339
26.560668,-1.012006
27.540443,-0.997403
27.188920,-1.065374
28.342222,-0.997357
28.330374,-1.049104
28.624415,-0.956951
29.302959,-0.940079
29.125599,-1.018594
29.691381,-1.021220
29.778787,-1.014796
30.159625,-0.942948
30.839664,-0.972702
29.943451,-0.928125
30.692695,-0.906360
30.171020,-0.881133
30.089311,-0.974714
30.337664,-0.928764
30.143183,-0.872929
29.685668,-0.812557
29.820024,-0.918244
29.681373,-0.944950
29.493514,-0.826455
28.787002,-0.895033
29.047370,-0.841112
28.415347,-0.894094
28.210309,-0.874851
